Local time,Ask,Bid,AskVolume,BidVolume
08.11.2016 07:44:20.547,1.1053,1.10528,1.5,4.87
08.11.2016 07:44:21.052,1.10531,1.10529,1,3.37
08.11.2016 07:44:21.558,1.10532,1.1053,4.91,3
08.11.2016 07:44:22.084,1.10533,1.10531,1.12,3.75
08.11.2016 07:44:27.414,1.10533,1.10531,1,5.62
08.11.2016 07:44:30.113,1.10534,1.10533,1,4.69
08.11.2016 07:44:30.165,1.10535,1.10534,4.12,3
08.11.2016 07:44:30.267,1.1053700000000002,1.10535,3.94,1
08.11.2016 07:44:30.790,1.1053700000000002,1.10534,3.56,5.25
08.11.2016 07:44:30.997,1.1053700000000002,1.1053600000000001,2.81,1.09
08.11.2016 07:44:31.250,1.10541,1.10539,1.5,4.5
08.11.2016 07:44:31.908,1.10541,1.1053700000000002,3,6.75
08.11.2016 07:44:32.414,1.1054000000000002,1.1053700000000002,1,5.78
08.11.2016 07:44:34.064,1.1054000000000002,1.1053700000000002,1,7.2
08.11.2016 07:44:35.495,1.10541,1.1053700000000002,3,7.12
08.11.2016 07:44:36.272,1.10541,1.1053700000000002,7.87,4.12
08.11.2016 07:44:36.789,1.1054000000000002,1.1053700000000002,1,3.37
08.11.2016 07:44:38.495,1.10541,1.1053700000000002,6.37,3.37
08.11.2016 07:44:44.963,1.1054000000000002,1.1053700000000002,1.75,3.37
08.11.2016 07:44:55.293,1.1054000000000002,1.1053600000000001,5.06,3.37
08.11.2016 07:45:02.340,1.1054000000000002,1.1053700000000002,4.31,1
08.11.2016 07:45:03.345,1.1054000000000002,1.1053600000000001,3.64,1.5
08.11.2016 07:45:12.672,1.1053700000000002,1.10535,2.31,5.25
08.11.2016 07:45:12.875,1.10535,1.10533,1,10.12
08.11.2016 07:45:13.027,1.1053700000000002,1.10535,2.06,1
08.11.2016 07:45:13.311,1.10535,1.10533,1.31,1.87
08.11.2016 07:45:13.816,1.10534,1.10532,2.81,1.12
08.11.2016 07:45:21.757,1.10534,1.10531,2.81,1.5
08.11.2016 07:45:22.597,1.10534,1.10531,4.31,1.5
08.11.2016 07:45:23.103,1.10534,1.10531,2.81,1.5
08.11.2016 07:45:27.631,1.10535,1.10533,9.56,3.25
08.11.2016 07:45:27.784,1.1053700000000002,1.10535,3.19,7.12
08.11.2016 07:45:28.289,1.1053700000000002,1.1053600000000001,1.69,1
08.11.2016 07:45:28.887,1.1053700000000002,1.10535,7.12,1
08.11.2016 07:45:29.089,1.10535,1.10534,1,1.87
08.11.2016 07:45:29.606,1.10535,1.10533,2.06,1.12
08.11.2016 07:45:30.061,1.10533,1.10532,1,1.12
08.11.2016 07:45:30.590,1.10534,1.10532,2.06,1.12
08.11.2016 07:45:33.929,1.10534,1.10533,2.62,1
08.11.2016 07:45:34.235,1.1053700000000002,1.1053600000000001,1.69,1.12
08.11.2016 07:45:36.391,1.1053600000000001,1.10534,2.62,1.12
08.11.2016 07:45:36.518,1.10535,1.10533,2.25,1.87
08.11.2016 07:45:37.024,1.10535,1.10532,3.75,2.25
08.11.2016 07:45:37.983,1.10535,1.10534,1.5,1.5
08.11.2016 07:45:38.135,1.1053700000000002,1.10535,2.44,8.25
08.11.2016 07:45:38.688,1.1053700000000002,1.1053600000000001,1.69,1
08.11.2016 07:45:42.482,1.10538,1.1053600000000001,3.19,2.25
08.11.2016 07:45:45.247,1.1053700000000002,1.1053600000000001,1.25,1
08.11.2016 07:45:45.752,1.1053700000000002,1.10535,1.25,2.25
08.11.2016 07:45:46.509,1.1053700000000002,1.1053600000000001,1.25,1
08.11.2016 07:45:46.863,1.10535,1.10534,1.25,4.5
08.11.2016 07:45:46.914,1.10535,1.10534,1.25,2.62
08.11.2016 07:45:49.691,1.10535,1.10533,2.81,1.5
08.11.2016 07:45:50.892,1.10535,1.10534,1.25,1
08.11.2016 07:45:55.989,1.1053600000000001,1.10534,10.69,1
08.11.2016 07:45:56.192,1.1053700000000002,1.10535,1.87,6.37
08.11.2016 07:45:56.243,1.10538,1.1053700000000002,1,1
08.11.2016 07:45:56.435,1.1054000000000002,1.10539,3.19,1
08.11.2016 07:46:01.520,1.10538,1.1053700000000002,1,2.25
08.11.2016 07:46:01.672,1.10538,1.1053700000000002,1.69,1
08.11.2016 07:46:02.077,1.1053700000000002,1.10535,1.87,1.12
08.11.2016 07:46:02.937,1.10538,1.1053600000000001,2.25,1
