Timestamp,Balance,BRENTX
2016-09-12 19:22:47.525000, Balance: 10005.65, Current Profit: -2.62500, Units -10
2016-09-12 19:26:26.438000, Balance: 10005.65, Current Profit: -2.80000, Units -10
2016-09-12 19:28:24.324000, Balance: 10005.65, Current Profit: -2.35000, Units -10
2016-09-12 19:31:32.304000, Balance: 10005.65, Current Profit: -2.70000, Units -10
2016-09-12 19:42:07.155000, Balance: 10005.65, Current Profit: -2.62500, Units -10
2016-09-12 19:53:01.617000, Balance: 10005.65, Current Profit: -2.00000, Units -10
2016-09-12 20:02:36.819000, Balance: 10005.65, Current Profit: -2.40000, Units -10
2016-09-12 20:13:19.050000, Balance: 10005.65, Current Profit: -2.20000, Units -10
2016-09-12 20:27:10.227000, Balance: 10005.65, Current Profit: -1.62500, Units -10
2016-09-12 20:39:40.199000, Balance: 10005.65, Current Profit: -1.45000, Units -10
2016-09-12 20:46:28.541000, Balance: 10005.65, Current Profit: -1.10000, Units -10
2016-09-12 20:53:59.410000, Balance: 10005.65, Current Profit: -1.05000, Units -10
2016-09-12 21:14:32.348000, Balance: 10004.30,0.00, 0
2016-09-14 01:00:01.391000, Balance: 10004.30,0.00, 0
2016-09-14 01:37:12.187000, Balance: 10004.30,0.00, 0
2016-09-14 02:16:18.783000, Balance: 10004.30,0.00, 0
2016-09-14 02:39:57.863000, Balance: 10004.30,0.00, 0
2016-09-14 03:13:08.393000, Balance: 10004.30,0.00, 0
2016-09-14 04:17:34.838000, Balance: 10004.30,0.00, 0
2016-09-14 05:43:06.920000, Balance: 10004.30,0.00, 0
2016-09-14 06:58:41.815000, Balance: 10004.30,0.00, 0
2016-09-14 07:11:25.861000, Balance: 10004.30,0.00, 0
2016-09-14 07:25:13.395000, Balance: 10004.30,0.00, 0
2016-09-14 07:36:38.253000, Balance: 10004.30,0.00, 0
2016-09-14 07:45:01.576000, Balance: 10004.30,0.00, 0
2016-09-14 07:54:10.436000, Balance: 10004.30,0.00, 0
2016-09-14 08:01:13.412000, Balance: 10004.30,0.00, 0
2016-09-14 08:06:11.968000, Balance: 10004.30,0.00, 0
2016-09-14 08:11:12.594000, Balance: 10004.30,0.00, 0
2016-09-14 08:16:20.060000, Balance: 10004.30,0.00, 0
2016-09-14 08:20:11.658000, Balance: 10004.30,0.00, 0
2016-09-14 08:26:18.180000, Balance: 10004.30,0.00, 0
